teks,label_emosi,label_angka
sedih kak mereka berani melakukan tapi enggak mau memelihara hasilnya,sad,5
biasa enggak sakit hati blas i malah senang menyambut kedatangan bayi ini mereka true story soale aku ya pernah bahkan istrine ini teman ku meskipun dah dekat sih,happy,3
yang bikin senang tiap pulang ngampus cuma ini doang asli enggak ada yang lain,happy,3
ulat sagu geli anjir walau proteinnya banyak wkwk,disgust,1
gue jadi kesel sama karakter choi daniel di yumi si cells anjir wkwkw sukses banget buat ngeselinnya,angry,0
eh takut banget aku sumpah,fear,2
kak terus sekarang bagaimana perasaan nenekmu pas sadar kalo anak lakilakinya enggak ada yang mengurus maaf ini pertanyaan agak kurang ajar tapi jujur aku baca tweetmu juga sedih rasanya,sad,5
plis capek banget takut gagal,fear,2
terkejut,surprise,6
otak lo kali jorok makan nya kalau punya hp tuh di pakai buat yang bermanfaat,disgust,1
ya beda aku di ui aduh semoga kita dapat soalnya enggak susah ya jujur takut banget,fear,2
eunseok kaget kita kaget seluruh dunya kaget,surprise,6
terkejut kakak ipar aku order nama grab nama ex aku hahaha deh nih phone dia dulu,surprise,6
teteh barakallah fii umrik semoga teteh selalu sehat bahagia amp dimudahkan dalam segala hal,happy,3
hasil survei yang melibatkan lebih dari orang dewasa berusia tahun ke atas di negara menunjukkan bahwa responden khawatir cacar api dapat mengganggu aktivitas seharihari,angry,0
siapapun hapus akunnya anjay merindink banget gue baca tweet jorok nya,disgust,1
tix pesawatnya affordable tapi hotelnya najis,disgust,1
Uang kertasnya lecek basah dan bau amis pasar ikan,disgust,1
ngeri banget sih,fear,2
kita enggak tau doa apa yang mereka sampaikan ke tuhannya orang di tempat kerja yang jahatjahat bikin aku sedih sampai nangis di kos aku aduin selesai sholat mereka jahat banget gila,sad,5
kalian call out enggak kita yang cewek saja jijik dan gue kalau lihat begitu tuh skip kalau kayak begini boleh enggak kita bilang ke kaum kalian itu karena tidak berpakaian yang pantas sehingga bisa disebut menggoda,disgust,1
eh brengsek arsip negara kenapa lu sebarrr,angry,0
sebenarnya enggak ya dd cuma kebetulan teman aku ada ide jadi ya sudah aku comot saja sudah izin eh seru begitu bisa naik ke khayangan ajak aku dong dd aku mau tau disana ada apa saja dan bagaimana belum apaapa saja sudah di phpin begini haha dem sedih dikit tapi ya sudah enggak apa-apa,sad,5
sejak dini sejalan dengan semangat hari pendidikan nasional dalam membangun generasi yang berintegritas berkarakter dan berdaya saing,neutral,4
senang deh kalo ada yang tau stayc kayak ih itu yoon stayc ya karena itu apa ya mereka tuh dibilang nugu ya bukan tapi juga banyak orang yang enggak tau bagaimana ya,happy,3
generasi cemas generasi gibranisasi,fear,2
kenapa lu namai diri lu begitu sih di akun gua anjg geli banget,disgust,1
berapa kali aku lihat ini kenapa lucu banget wusogii dimata mbak ayu se cute itu ya lucu banget lagi cara mengomongnya,happy,3
kemandirian pangan dimulai dari menghargai hasil panen petani sendiri dengan stok beras yang melimpah dan harga yang stabil masyarakat dapat memenuhi kebutuhan tanpa rasa khawatir,fear,2
alhamdulillah mau allah restore her tapi health,happy,3
najis banget nder,disgust,1
pusing bingung mesti mengapai enggak punya bpjs mentok enggak bisa buat skck mentok enggak bisa buat lamaran kerja selain online dan terbatas ngojol juga pakai skck ini this economy sesuatu banget hari begini,neutral,4
makin dikeluarin faktanya makin tercengang juga moa,surprise,6
abel lucu banget khawatir begitu wkakaka,happy,3
iya bub aneh banget kayak damn lah semua hubungan gue isinya traumatis jadi lihat cowok kayak jijik,disgust,1
motac beri amaran tegas henti operasi perkhidmatan pelancongan tanpa lesen,neutral,4
aku enggak tau harus bagaimana lagi tapi aku senang bangetmakasii allah️️aku bukan apa apa tanpa allahaku enggak bisa lihat sc kalo bukan karena allah️,happy,3
kegiatan pacaran orang dewasa bantu coloring,neutral,4
baru pulang sange banget ada yang mau enggak ce jakarta bekasi,neutral,4
akhirnya walaupun sempat nangis karena enggak sempat menonton di imax tapi tiba besokannya balik ke imax,sad,5
marah banget lihatnya,angry,0
dyslm harus banget kah pakai judul sama begini disaat timingnya berdekatan pula selama ini kalo ada rame topik jiplak menjiplak gue selalu diam tapi yang ini astaga nih agensi kenapa deh capek banget lihatnya be creative please membuktikan omongan pemuja kalian yang bilang kalo esem itu kreatif,surprise,6
takut banget besok ada yang ngereview gue tiap ganti soal nyanyi kicau mania,fear,2
dulu aku kira tiap orang punya satu hobi lah kalo enggak suka anime paling suka kpopdrakoran pas masuk dunia kerja tercengang sama hobi orang orang,surprise,6
jijik banget anjing,angry,0
Antrean udah panjang begini masih aja ada yang berani nyerobot dari samping,angry,0
lama lama ini negara bobrok enggak bakal pernah pulih garagara pada takut jadi whistleblowerjustice collaborator apalagi setelah kasus ini minimal lu pada hargain dulu yang mau tobat meskipun tobatnya karena dorongan orang terdekat,fear,2
badut oh badut impulsive buying my second tumbler tomoro kali frieren fern stark ver pulang dengan selamat jaraknya beda kamu doang sama store yang minggu lalu ku datengin,neutral,4
muka meminta makan,neutral,4
kaget bisa balik lagi,surprise,6
makan pete bang,neutral,4
pengin istirahat belajar tapi istirahat juga enggak bakalan tenang kalo di gempur terus kasihan badan sudah pasrah deh,sad,5
termul orang susah pura² bahagia,happy,3
soreee kakak abel gtlt eh infokan dong kapan dramanya itu tayang aku siap menjadi buzzernya kak abel xixixi kalau playlist sbnernya aku lagi senang mendengarkan hipdut kayak lagunya tenxi sama dia,happy,3
Alarm bunyi kenceng banget berjam-jam tapi yang punya malah tidur pules,angry,0
hah gue tercengang,surprise,6
gue jijik banget orang orang yang masih menjilat prabowo apalagi baca komen di ig taunya coblos enggak tau bakal di dzolimin begini,disgust,1
sejauh ini semua genre aku libas mungkin yang jijik kayak human centipede enggak suka tapi bukan berarti enggak bisa menonton,disgust,1
resonansi lompat katak dia main ke halaman profil astaga kau molek mustahil,surprise,6
rekor cik sampai rumah sebelum maghrib padahal naik jakling alhamdulillah,happy,3
apalah apalah apalah gue sedih,sad,5
Sabun habis bukannya dibuang botolnya atau diisi ulang malah ditinggalin kosong,angry,0
main apa saja sama dd syesyep saya terkejut lihat match poolnya dia,surprise,6
wow cent huge lets moon tapi ke,surprise,6
astaga marut komedo kayak marut keju,surprise,6
ilfeel sama wilson awoakwokaiej tapi enggak kokk dia malah kayak cute loser nerd di situ amp that was the softest i ve seen of him ini a movie,happy,3
Pakaian basah dijemur numpuk-numpuk bau apek semua jadinya kan,angry,0
kementerian pertahanan selalu jaga kedaulatan kita kerja sama internasional tetap utamakan kepentingan nasional indonesia maju kita kuat,neutral,4
lu incest sama siapa emak lu astaga nagoy bapak incest ke anak cewenya saja sudah dihina ini ngelesbi incest ke emak sendiri wah gila enggak habis thinking sambil mikir gue,angry,0
selamat ulang tahun ayah panjang umur sehat selalu bahagia dunia dan akhirat ya,happy,3
khawatir bikin sial ya kak,fear,2
